"Identifier","Identifier ARK","Title#1","Creator#1","Creator#2","Subject#1","Date#1","Rights#1","ln_RECORDID","ln_MEDIAID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"newmanessay05.pdf","https://ark.colorado.edu/ark:/47540/w17b8d43604j","Mwethya: the socio-historical basis and uses of collective action in Machakos District","Mutiso, G. C. M. (Gideon-Cyrus Makau)","","","1971-07","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432652","125802","newmanmisc05.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432652~125802"
"newman027.pdf","https://ark.colorado.edu/ark:/47540/296f1340955r","Mwinzi Mala. Tawa Market. 2.11.74","Newman, Jeremy","Mala, Mwinzi","","11/2/1974","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432589","125792","newman027.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432589~125792"
"newman002.pdf","https://ark.colorado.edu/ark:/47540/68037831j6c6","Nzile Ndaa. Mbitini Location. Kanyoonyoo Utui.","Newman, Jeremy","Ndaa, Nzile","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432440","125776","newman002.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432440~125776"
"newman009.pdf","https://ark.colorado.edu/ark:/47540/gn045f31w2fz","P.Kitia. Sengani near Matungulu. 25.11.1973","Newman, Jeremy","Kitia, P","","11/25/1973","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432481","125770","newman009.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432481~125770"
"newman006.pdf","https://ark.colorado.edu/ark:/47540/j6971p96j1q4","Paulo Muthiani wa Musau. Ex-Headman of Ngubuni, Matungulu Loc.","Newman, Jeremy","Muthiani wa Musau, Paulo","","6/30/1973","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432463","125767","newman006.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432463~125767"
"newman031.pdf","https://ark.colorado.edu/ark:/47540/jx848c52960m","Solomon Kyengo. Kiteta Location. 8.11.74","Newman, Jeremy","Kyengo, Solomon","","11/8/1974","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432613","125796","newman031.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432613~125796"
"newman023.pdf","https://ark.colorado.edu/ark:/47540/6n9j3m78s4nh","Somba wa Nthenge. Ndunduuni Section, Mbitini Location. 9.8.74","Newman, Jeremy","wa Nthenge, Somba","","8/9/1974","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432565","125788","newman023.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432565~125788"
"newmanessay001.pdf","https://ark.colorado.edu/ark:/47540/hz2z1k80x1rq","Some Aspects of the Results of British Administrative Techniques and Attitudes in the Machakos District of Kenya, 1889-1954","Newman, Jeremy","","","1972-06","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432628","125773","newmanessay01.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432628~125773"
"newmanessay04.pdf","https://ark.colorado.edu/ark:/47540/4h2j1p89q981","The Economic and Social Basis of Kamba Protest, 1938-1939","Munro, J. Forbes","","","2/22/1973","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432646","125801","newmanmisc04.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432646~125801"
"newmanessay02.pdf","https://ark.colorado.edu/ark:/47540/vp070v02m526","The Failure of Mau Mau Politics in Machakos District: a background exploration","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432638","125800","newmanmisc02.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432638~125800"
"newman032.pdf","https://ark.colorado.edu/ark:/47540/4h9c51019629","The Jeremy Newman Papers","Osborne, Myles","","","2010-11","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432658","125797","newman032.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432658~125797"
"newman020.pdf","https://ark.colorado.edu/ark:/47540/31456p23b5p6","William Muisyo Mulinge, Ikuua Utui. Ukia Location.","Newman, Jeremy","Muisyo Mulinge, William","","3/8/1974","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432547","125785","newman020.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432547~125785"
"newman022.pdf","https://ark.colorado.edu/ark:/47540/59872z1851d3","William Mwabu.20.6.74. Kasikine, Kilungu Location.","Newman, Jeremy","Mwabu, William","","6/20/1974","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432559","125787","newman022.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432559~125787"
"newman028.pdf","https://ark.colorado.edu/ark:/47540/vb5p804456tn","Zachayo Mulandi Ngao. Kiteta Location. (67 acres) 2.11.74","Newman, Jeremy","Mulandi Ngao, Zachayo","","11/2/1974","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432595","125793","newman028.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432595~125793"
