Identifier,Title#1,Creator#1,Creator#2,Subject#1,Date#1,Rights#1,ln_RECORDID,ln_MEDIAID,lnexp_MEDIAFILENAME
newman027.pdf,Mwinzi Mala. Tawa Market. 2.11.74,"Newman, Jeremy","Mala, Mwinzi",,11/2/1974,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432589,125792,newman027.pdf
newman002.pdf,Nzile Ndaa. Mbitini Location. Kanyoonyoo Utui.,"Newman, Jeremy","Ndaa, Nzile",,,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432440,125776,newman002.pdf
newman009.pdf,P.Kitia. Sengani near Matungulu. 25.11.1973,"Newman, Jeremy","Kitia, P",,11/25/1973,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432481,125770,newman009.pdf
newman006.pdf,"Paulo Muthiani wa Musau. Ex-Headman of Ngubuni, Matungulu Loc.","Newman, Jeremy","Muthiani wa Musau, Paulo",,6/30/1973,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432463,125767,newman006.pdf
newman031.pdf,Solomon Kyengo. Kiteta Location. 8.11.74,"Newman, Jeremy","Kyengo, Solomon",,11/8/1974,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432613,125796,newman031.pdf
newman023.pdf,"Somba wa Nthenge. Ndunduuni Section, Mbitini Location. 9.8.74","Newman, Jeremy","wa Nthenge, Somba",,8/9/1974,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432565,125788,newman023.pdf
newmanessay001.pdf,"Some Aspects of the Results of British Administrative Techniques and Attitudes in the Machakos District of Kenya, 1889-1954","Newman, Jeremy",,,1972-06,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432628,125773,newmanessay01.pdf
newmanessay04.pdf,"The Economic and Social Basis of Kamba Protest, 1938-1939","Munro, J. Forbes",,,2/22/1973,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432646,125801,newmanmisc04.pdf
newmanessay02.pdf,The Failure of Mau Mau Politics in Machakos District: a background exploration,,,,,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432638,125800,newmanmisc02.pdf
newman032.pdf,The Jeremy Newman Papers,"Osborne, Myles",,,2010-11,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432658,125797,newman032.pdf
newman020.pdf,"William Muisyo Mulinge, Ikuua Utui. Ukia Location.","Newman, Jeremy","Muisyo Mulinge, William",,3/8/1974,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432547,125785,newman020.pdf
newman022.pdf,"William Mwabu.20.6.74. Kasikine, Kilungu Location.","Newman, Jeremy","Mwabu, William",,6/20/1974,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432559,125787,newman022.pdf
newman028.pdf,Zachayo Mulandi Ngao. Kiteta Location. (67 acres) 2.11.74,"Newman, Jeremy","Mulandi Ngao, Zachayo",,11/2/1974,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432595,125793,newman028.pdf
